tiempo (s) 		 u 
0.000000 	 1.000000000000000e+00 
0.000000 	 9.900000000000000e-01 
0.001000 	 9.801000000000000e-01 
0.002000 	 9.702990000000000e-01 
0.003000 	 9.605960100000001e-01 
0.004000 	 9.509900499000000e-01 
0.005000 	 9.414801494010000e-01 
0.006000 	 9.320653479069900e-01 
0.007000 	 9.227446944279202e-01 
0.008000 	 9.135172474836409e-01 
0.009000 	 9.043820750088045e-01 
0.010000 	 8.953382542587165e-01 
0.011000 	 8.863848717161293e-01 
0.012000 	 8.775210229989681e-01 
0.013000 	 8.687458127689783e-01 
0.014000 	 8.600583546412885e-01 
0.015000 	 8.514577710948756e-01 
0.016000 	 8.429431933839269e-01 
0.017000 	 8.345137614500876e-01 
0.018000 	 8.261686238355868e-01 
0.019000 	 8.179069375972309e-01 
0.020000 	 8.097278682212585e-01 
0.021000 	 8.016305895390460e-01 
0.022000 	 7.936142836436555e-01 
0.023000 	 7.856781408072190e-01 
0.024000 	 7.778213593991468e-01 
0.025000 	 7.700431458051553e-01 
0.026000 	 7.623427143471038e-01 
0.027000 	 7.547192872036327e-01 
0.028000 	 7.471720943315964e-01 
0.029000 	 7.397003733882804e-01 
0.030000 	 7.323033696543976e-01 
0.031000 	 7.249803359578536e-01 
0.032000 	 7.177305325982750e-01 
0.033000 	 7.105532272722923e-01 
0.034000 	 7.034476949995694e-01 
0.035000 	 6.964132180495737e-01 
0.036000 	 6.894490858690779e-01 
0.037000 	 6.825545950103872e-01 
0.038000 	 6.757290490602833e-01 
0.039000 	 6.689717585696805e-01 
0.040000 	 6.622820409839837e-01 
0.041000 	 6.556592205741438e-01 
0.042000 	 6.491026283684024e-01 
0.043000 	 6.426116020847183e-01 
0.044000 	 6.361854860638712e-01 
0.045000 	 6.298236312032325e-01 
0.046000 	 6.235253948912002e-01 
0.047000 	 6.172901409422882e-01 
0.048000 	 6.111172395328653e-01 
0.049000 	 6.050060671375367e-01 
0.050000 	 5.989560064661613e-01 
0.051000 	 5.929664464014998e-01 
0.052000 	 5.870367819374848e-01 
0.053000 	 5.811664141181099e-01 
0.054000 	 5.753547499769288e-01 
0.055000 	 5.696012024771595e-01 
0.056000 	 5.639051904523880e-01 
0.057000 	 5.582661385478641e-01 
0.058000 	 5.526834771623854e-01 
0.059000 	 5.471566423907616e-01 
0.060000 	 5.416850759668539e-01 
0.061000 	 5.362682252071853e-01 
0.062000 	 5.309055429551135e-01 
0.063000 	 5.255964875255623e-01 
0.064000 	 5.203405226503067e-01 
0.065000 	 5.151371174238036e-01 
0.066000 	 5.099857462495656e-01 
0.067000 	 5.048858887870700e-01 
0.068000 	 4.998370298991993e-01 
0.069000 	 4.948386596002073e-01 
0.070000 	 4.898902730042052e-01 
0.071000 	 4.849913702741632e-01 
0.072000 	 4.801414565714215e-01 
0.073000 	 4.753400420057073e-01 
0.074000 	 4.705866415856503e-01 
0.075000 	 4.658807751697938e-01 
0.076000 	 4.612219674180958e-01 
0.077000 	 4.566097477439149e-01 
0.078000 	 4.520436502664757e-01 
0.079000 	 4.475232137638110e-01 
0.080000 	 4.430479816261729e-01 
0.081000 	 4.386175018099112e-01 
0.082000 	 4.342313267918120e-01 
0.083000 	 4.298890135238939e-01 
0.084000 	 4.255901233886550e-01 
0.085000 	 4.213342221547685e-01 
0.086000 	 4.171208799332208e-01 
0.087000 	 4.129496711338886e-01 
0.088000 	 4.088201744225497e-01 
0.089000 	 4.047319726783242e-01 
0.090000 	 4.006846529515410e-01 
0.091000 	 3.966778064220256e-01 
0.092000 	 3.927110283578054e-01 
0.093000 	 3.887839180742273e-01 
0.094000 	 3.848960788934850e-01 
0.095000 	 3.810471181045502e-01 
0.096000 	 3.772366469235047e-01 
0.097000 	 3.734642804542696e-01 
0.098000 	 3.697296376497269e-01 
0.099000 	 3.660323412732296e-01 
0.100000 	 3.623720178604973e-01 
0.101000 	 3.587482976818923e-01 
0.102000 	 3.551608147050734e-01 
0.103000 	 3.516092065580226e-01 
0.104000 	 3.480931144924424e-01 
0.105000 	 3.446121833475180e-01 
0.106000 	 3.411660615140428e-01 
0.107000 	 3.377544008989024e-01 
0.108000 	 3.343768568899133e-01 
0.109000 	 3.310330883210142e-01 
0.110000 	 3.277227574378040e-01 
0.111000 	 3.244455298634260e-01 
0.112000 	 3.212010745647917e-01 
0.113000 	 3.179890638191438e-01 
0.114000 	 3.148091731809524e-01 
0.115000 	 3.116610814491428e-01 
0.116000 	 3.085444706346514e-01 
0.117000 	 3.054590259283049e-01 
0.118000 	 3.024044356690218e-01 
0.119000 	 2.993803913123316e-01 
0.120000 	 2.963865873992083e-01 
0.121000 	 2.934227215252162e-01 
0.122000 	 2.904884943099640e-01 
0.123000 	 2.875836093668644e-01 
0.124000 	 2.847077732731957e-01 
0.125000 	 2.818606955404638e-01 
0.126000 	 2.790420885850591e-01 
0.127000 	 2.762516676992086e-01 
0.128000 	 2.734891510222165e-01 
0.129000 	 2.707542595119943e-01 
0.130000 	 2.680467169168744e-01 
0.131000 	 2.653662497477056e-01 
0.132000 	 2.627125872502286e-01 
0.133000 	 2.600854613777263e-01 
0.134000 	 2.574846067639490e-01 
0.135000 	 2.549097606963096e-01 
0.136000 	 2.523606630893465e-01 
0.137000 	 2.498370564584530e-01 
0.138000 	 2.473386858938685e-01 
0.139000 	 2.448652990349298e-01 
0.140000 	 2.424166460445805e-01 
0.141000 	 2.399924795841347e-01 
0.142000 	 2.375925547882934e-01 
0.143000 	 2.352166292404104e-01 
0.144000 	 2.328644629480063e-01 
