# subdivisiones (n) 		 integral 			 error 
3.200000000000000e+01 	 5.204998796970934e-01 	 4.287133981151214e-10 
3.400000000000000e+01 	 5.204998792683800e-01 	 3.134152937178669e-10 
3.600000000000000e+01 	 5.204998789549647e-01 	 2.334060722475328e-10 
3.800000000000000e+01 	 5.204998787215587e-01 	 1.767027635324325e-10 
4.000000000000000e+01 	 5.204998785448559e-01 	 1.357559620274174e-10 
4.200000000000000e+01 	 5.204998784090999e-01 	 1.056856824277475e-10 
4.400000000000000e+01 	 5.204998783034143e-01 	 8.326583866846704e-11 
4.600000000000000e+01 	 5.204998782201484e-01 	 6.631895033137880e-11 
4.800000000000000e+01 	 5.204998781538295e-01 	 5.334777064547325e-11 
5.000000000000000e+01 	 5.204998781004817e-01 	 4.330502623162147e-11 
5.200000000000000e+01 	 5.204998780571767e-01 	 3.544819993095416e-11 
5.400000000000000e+01 	 5.204998780217285e-01 	 2.924149811178722e-11 
5.600000000000000e+01 	 5.204998779924870e-01 	 2.429445533635999e-11 
5.800000000000000e+01 	 5.204998779681925e-01 	 2.031852464057238e-11 
6.000000000000000e+01 	 5.204998779478740e-01 	 1.709843377994957e-11 
6.200000000000000e+01 	 5.204998779307756e-01 	 1.447197917059384e-11 
6.400000000000000e+01 	 5.204998779163036e-01 	 1.231492685604962e-11 
6.600000000000000e+01 	 5.204998779039887e-01 	 1.053257481231640e-11 
6.800000000000000e+01 	 5.204998778934561e-01 	 9.050982185954126e-12 
