tau 		 Metodo Euler 	 Metodo RK2 	 Metodo RK4 
0.001000 	 7.322680290405614e-03 	 2.305279296344054e-07 	 3.028688411177427e-13 
0.001000 	 7.322680290405614e-03 	 2.305279296344054e-07 	 3.028688411177427e-13 
0.002000 	 3.120012455123566e-02 	 2.149239140436521e-06 	 1.601829779929176e-12 
0.003000 	 7.039837559827644e-02 	 1.305383744210076e-06 	 2.296962620107479e-11 
0.004000 	 1.239966421181626e-01 	 3.932012912599703e-06 	 9.253842137013635e-11 
0.005000 	 1.964551229531146e-01 	 4.967198528937899e-06 	 2.911493268697996e-11 
0.006000 	 2.905632515196626e-01 	 1.546182118028483e-05 	 8.486140679053733e-10 
0.007000 	 3.980096591681219e-01 	 4.193767858007291e-05 	 1.065811883194101e-09 
0.008000 	 5.254010370162323e-01 	 5.270609762186851e-05 	 3.410415505555875e-09 
0.009000 	 6.862520346091348e-01 	 6.844522991356072e-05 	 4.239633533131837e-09 
0.010000 	 8.667443547161464e-01 	 1.755983840232567e-04 	 1.089660539577153e-08 
0.011000 	 1.065863377939749e+00 	 2.489912337466649e-04 	 1.936580229511264e-08 
0.012000 	 1.303114044831380e+00 	 2.678338405530667e-04 	 2.254683550972914e-08 
0.013000 	 1.591998228428875e+00 	 4.740031985002169e-04 	 5.389589441406883e-08 
0.014000 	 1.892829983099978e+00 	 6.709630347674356e-04 	 6.819558606707687e-08 
0.015000 	 2.227628155527992e+00 	 8.077750139574569e-04 	 1.135888321179834e-07 
0.016000 	 2.645623584352820e+00 	 1.011142860363190e-03 	 1.496635313458228e-07 
0.017000 	 3.117462858763280e+00 	 1.467717955075276e-03 	 2.321274381600347e-07 
0.018000 	 3.594281459491107e+00 	 1.808165520801541e-03 	 3.323556856393850e-07 
0.019000 	 4.129020613399202e+00 	 2.035830979563613e-03 	 3.938393562386011e-07 
0.020000 	 4.830898611421473e+00 	 2.758798424818298e-03 	 6.397256444579114e-07 
0.021000 	 5.564963714494640e+00 	 3.397240557352355e-03 	 7.764803822141175e-07 
0.022000 	 6.271599547615198e+00 	 3.905854512898266e-03 	 1.062558387499024e-06 
0.023000 	 7.039706013420963e+00 	 4.645525365358782e-03 	 1.345910691785690e-06 
0.024000 	 8.084275960385822e+00 	 5.826910094923310e-03 	 1.775461506703380e-06 
0.025000 	 9.237607715282273e+00 	 6.761419074982289e-03 	 2.300530088206187e-06 
0.026000 	 1.017587393124209e+01 	 7.535326983063584e-03 	 2.673219147375505e-06 
0.027000 	 1.108332229689111e+01 	 9.268031780365060e-03 	 3.712833708480190e-06 
0.028000 	 1.201482193050392e+01 	 1.074459696208585e-02 	 4.360338410780429e-06 
0.029000 	 1.328096332536103e+01 	 1.200321672861637e-02 	 5.451673453560346e-06 
0.030000 	 1.495943629027457e+01 	 1.381935020931335e-02 	 6.658308068896446e-06 
0.031000 	 1.619056007624230e+01 	 1.622399297350707e-02 	 8.130788483828866e-06 
0.032000 	 1.701048908213999e+01 	 1.821243020041630e-02 	 9.950911298073351e-06 
0.033000 	 1.767446878503240e+01 	 2.004241949431540e-02 	 1.134746650155449e-05 
0.034000 	 1.824937146862308e+01 	 2.343781743303675e-02 	 1.449712876455678e-05 
0.035000 	 1.879159097087904e+01 	 2.627874995360324e-02 	 1.662141370228909e-05 
0.036000 	 1.960331694293773e+01 	 2.880546023529940e-02 	 1.974895455925108e-05 
0.037000 	 1.950252200709833e+01 	 3.244836722952016e-02 	 2.344747125393454e-05 
0.038000 	 2.285584229555099e+01 	 3.669602072382627e-02 	 2.738774856236859e-05 
0.039000 	 2.317955679393339e+01 	 4.033866663919161e-02 	 3.230529092546064e-05 
0.040000 	 2.307762478996165e+01 	 4.393628730847743e-02 	 3.628806779198968e-05 
0.041000 	 2.378470043807190e+01 	 4.980719483188656e-02 	 4.402808555692417e-05 
0.042000 	 2.396623570977105e+01 	 5.468262061258633e-02 	 4.958758621720349e-05 
0.043000 	 2.786511994345780e+01 	 5.915522148277130e-02 	 5.703777956922451e-05 
0.044000 	 2.753899114883266e+01 	 6.561031407969509e-02 	 6.625351592992601e-05 
0.045000 	 3.069104630865549e+01 	 7.245321227786006e-02 	 7.520433209018407e-05 
0.046000 	 2.988146283106187e+01 	 7.850835709041215e-02 	 8.644969584148399e-05 
0.047000 	 3.439444826664776e+01 	 8.483392665376321e-02 	 9.596010223722473e-05 
0.048000 	 3.304024584456202e+01 	 9.416113384682134e-02 	 1.124309973605797e-04 
0.049000 	 3.368555811202476e+01 	 1.019151067071502e-01 	 1.249108127017173e-04 
0.050000 	 3.612659810957523e+01 	 1.092117282444964e-01 	 1.405074309244192e-04 
0.051000 	 3.383204085431434e+01 	 1.197322155564686e-01 	 1.604094897103003e-04 
0.052000 	 3.896400163162080e+01 	 1.300903366212172e-01 	 1.785098359565751e-04 
0.053000 	 3.852274158210578e+01 	 1.395088449991455e-01 	 2.013303695389546e-04 
0.054000 	 4.348167942256208e+01 	 1.498371549981048e-01 	 2.213667321901980e-04 
0.055000 	 4.413844939875194e+01 	 1.638012050483213e-01 	 2.529212056283647e-04 
0.056000 	 4.449347674013484e+01 	 1.755024342034690e-01 	 2.779873515144082e-04 
0.057000 	 4.964137069307420e+01 	 1.867700741207763e-01 	 3.076718103600662e-04 
0.058000 	 4.657826771315300e+01 	 2.029252975496858e-01 	 3.463648275290332e-04 
0.059000 	 5.332875644548147e+01 	 2.179578057218867e-01 	 3.799248984468484e-04 
0.060000 	 4.934056624791862e+01 	 2.319449303449757e-01 	 4.222583776569699e-04 
