# Comparacion derivada por los métodos h2 y h4

# x	f(x)	h2	h4
0	0	-0.0016004267008013	1.70734944257292e-06
0.04	0.00153726310264372	0.0738493077109309	0.0753274997603677
0.08	0.00590794461687447	0.140429889826042	0.141792184356525
0.12	0.0127716542887271	0.198836704758257	0.200090675051685
0.16	0.021814880997535	0.249719697929903	0.250872471863706
0.2	0.0327492301231193	0.293686047498731	0.294744331995387
0.24	0.0453097647974335	0.33130269008762	0.33227279428597
0.28	0.0592534453301289	0.363098707486406	0.363986564699195
0.32	0.074357661396346	0.389567581608459	0.390378770127386
0.36	0.0904188518588056	0.411169324616954	0.411909087423507
0.4	0.107251207365702	0.428332490786132	0.429005754223615
0.44	0.124685451121696	0.441456076330407	0.442067467789844
0.48	0.142567693472135	0.450911313118055	0.451465177788061
0.52	0.160758356171141	0.457043361885669	0.457543778613905
0.56	0.179131162422988	0.460172910283862	0.460623706595363
0.6	0.197572188993849	0.460597680813055	0.461002447128432
0.64	0.215978976888033	0.45859385344999	0.458955956544443
0.68	0.234259697269849	0.454417407520208	0.454740003262206
0.72	0.252332369489649	0.448305387138437	0.448591432545022
0.76	0.270124128240924	0.440477094317156	0.440729358960979
0.8	0.287570537035022	0.431135213632939	0.431356290434403
0.84	0.304614945331559	0.420466872139935	0.420659187576145
0.88	0.321207886806217	0.408644638029677	0.408810461790317
0.92	0.337306516373933	0.395827461355584	0.395968915474354
0.96	0.352874083714663	0.38216155996887	0.38228062745766
1	0.367879441171442	0.367781253649417	0.367879786661047
1.04	0.382296584006617	0.352809749260183	0.35288947680425
1.08	0.396104221112257	0.337359879606552	0.33742241484167
1.12	0.409285374375141	0.321534798542209	0.32158164566679
1.16	0.421827004995634	0.30542863473038	0.30546119549295
1.2	0.433719665153571	0.289127106343132	0.289146686192149
1.24	0.444957173503084	0.272708098861778	0.272715912753904
1.28	0.455536313062513	0.256242208027668	0.256239385912462
1.32	0.465456550145298	0.239793249884797	0.239780841882928
1.36	0.474719773053297	0.223418739753138	0.223397721044321
1.4	0.483330049325549	0.207170341874383	0.207141617310415
1.44	0.491293400403248	0.191094291379434	0.191058699836954
1.48	0.498617592635903	0.175231790139366	0.17519010862617
1.52	0.505311943614397	0.159619377978471	0.159572325506565
1.56	0.511387142874181	0.144289280649013	0.144237521886851
1.6	0.516855086066318	0.129269735892523	0.129213884608294
1.64	0.521728721745583	0.11458529884141	0.114525921148588
1.68	0.526021909973631	0.100257127947233	0.100194745363053
1.72	0.529749291981361	0.0863032525581342	0.0862383448851006
1.76	0.532926170178281	0.0727388232072371	0.0726718312472327
1.8	0.53556839783794	0.0595763456163662	0.0595076737264696
1.84	0.537692277827591	0.0468258993648746	0.0467559178634965
1.88	0.53931446978713	0.0344953421216515	0.0344243895531479
1.92	0.540451905197323	0.0225905002894503	0.022518885554975
1.96	0.541121709810286	0.0111153468641004	0.0110433512260362
2	0.541341132946451	7.21672671358253e-05	4.62340473776172e-08
2.04	0.541127483191657	-0.010538286131298	-0.0106103010325741
2.08	0.540498070055947	-0.0207166501220754	-0.0207883496809625
2.12	0.539470151181891	-0.0304648167595303	-0.0305360125169546
2.16	0.538060884715185	-0.0397858088524397	-0.039856331631153
2.2	0.536287286473696	-0.0486836642730692	-0.0487533627977564
2.24	0.534166191573339	-0.0571633285455758	-0.0572320681477073
2.28	0.53171422019005	-0.0652305552052937	-0.0652982166079528
2.32	0.528947747156916	-0.0728918134490567	-0.0729582916272361
2.36	0.525882875114125	-0.0801542026237431	-0.0802194057358279
2.4	0.522535410947016	-0.0870253731259207	-0.0870892215123246
2.44	0.518920845264052	-0.0935134533096751	-0.0935758785547865
2.48	0.515054334682242	-0.0996269820227616	-0.0996879260765846
2.52	0.510950686702231	-0.10537484641291	-0.105434260768975
2.56	0.506624346969209	-0.110766224666672	-0.110824069592951
2.6	0.502089388728897	-0.115810533362762	-0.115866777182547
2.64	0.497359504300188	-0.120517379140141	-0.12057199755996
2.68	0.492447998397686	-0.124896514398608	-0.12494948988044
2.72	0.4873677831483	-0.128957796766083	-0.129009117941279
2.76	0.482131374656399	-0.132711152082385	-0.13276081320483
2.8	0.476750890981709	-0.136166540664017	-0.136214541100229
2.84	0.471238051403278	-0.139333926628377	-0.139380270382328
2.88	0.465604176851439	-0.142223250069029	-0.142267945339634
2.92	0.459860191397756	-0.144844401886051	-0.144887460655355
2.96	0.454016624700555	-0.14720720108725	-0.147248638737469
3	0.448083615310776	-0.149321374387137	-0.149361209344803
3.04	0.442070914749584	-0.151196537941032	-0.151234791346592
3.08	0.435987892275493	-0.152842181061568	-0.15287887646288
3.12	0.429843540264658	-0.15426765177423	-0.154302814842487
3.16	0.423646480133555	-0.155482144077351	-0.155515802344039
3.2	0.41740496873847	-0.156494686780348	-0.156526869393935
3.24	0.411126905191127	-0.15731413380182	-0.157344871302941
3.28	0.404819838034324	-0.157949155816569	-0.15797847993053
3.32	0.398490972725801	-0.158408233147551	-0.158436176593073
3.36	0.39214717938252	-0.158699649805398	-0.158726246118549
3.4	0.385795000741369	-0.158831488584341	-0.158856771956678
3.44	0.379440660295773	-0.15881162712926	-0.158835632259281
3.48	0.373090070571029	-0.158647734894052	-0.158670496851068
3.52	0.366748841504249	-0.158347270916749	-0.158368825016371
3.56	0.360422288897689	-0.157917482341718	-0.157937864032187
3.6	0.354115442916912	-0.157365403623869	-0.157384648382517
3.64	0.347833056607779	-0.156697856354132	-0.156715999593266
3.68	0.341579614408581	-0.155921449649591	-0.155938526631189
3.72	0.335359340635812	-0.155042581055465	-0.155058626814061
